account_id,customer_id,count_of_tran_last_180days,CreditInflow_last_180days,Debitoutflow_last_180days,Count_of_Dr_tran_last_180days,product_name,product_code,On_App,On_USSD,On_Business_app,clear_balance,has_card,Payday_loan,Salary_loan,Device_loan,child_account,teenager_account,School_fees_advance,NYSC_loan,Eventss,Dataa,Bills,Travels,Airtime,HealthConnect,Insurance,ExpenseTracker,QR_pay,Evoucher,Movies,Marital_status,Age
ACC100000,CUST200000,0,0.0,0.0,0,Savings,P001,Inactive,Inactive,,219869.05,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Single,62
ACC100001,CUST200001,20,0.0,0.0,0,Current,P003,Inactive,Inactive,,0.0,No,No,No,,Yes,,,No,No,,Yes,No,No,No,No,,No,No,No,Single,34
ACC100002,CUST200002,2,577763.78,0.0,0,Savings,P003,,Inactive,Inactive,521534.99,No,No,,No,No,Yes,,,No,No,No,No,No,No,No,No,No,No,No,Single,29
ACC100003,CUST200003,1,0.0,420809.3,0,Savings,P001,,Inactive,Active,0.0,No,Yes,,Yes,No,No,No,,No,No,No,No,No,,No,No,No,No,No,Single,40
ACC100004,CUST200004,0,722526.86,0.0,6,Youth,P003,Inactive,Inactive,Active,0.0,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,43
ACC100005,CUST200005,0,0.0,0.0,0,Savings,P001,Inactive,Active,,0.0,,No,No,No,No,,No,No,No,No,No,,No,No,,No,No,No,No,Single,0
ACC100006,CUST200006,0,517118.94,0.0,0,Savings,P002,,Inactive,Inactive,247177.35,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,No,Divorced,53
ACC100007,CUST200007,5,444325.41,0.0,0,Youth,P002,Inactive,,Inactive,217596.71,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Married,23
ACC100008,CUST200008,1,0.0,0.0,0,Salary,P003,Inactive,,Inactive,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,29
ACC100009,CUST200009,2,0.0,0.0,1,Current,P003,,Inactive,Inactive,41411.54,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,Yes,,No,Single,52
ACC100010,CUST200010,0,0.0,0.0,0,Current,P001,Inactive,Inactive,Inactive,49344.87,No,,,No,No,,No,No,No,,No,No,No,No,,No,,No,No,Single,68
ACC100011,CUST200011,20,612957.82,263082.88,0,Salary,P003,,,Inactive,0.0,No,No,No,No,No,No,No,No,No,,No,No,,No,No,No,,,No,Married,66
ACC100012,CUST200012,5,0.0,0.0,3,Youth,P003,,Inactive,Inactive,428417.55,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,Married,68
ACC100013,CUST200013,0,608440.6,0.0,0,Youth,P003,Inactive,,Inactive,0.0,No,No,No,No,No,Yes,No,,,No,No,No,No,No,,,No,No,No,Single,0
ACC100014,CUST200014,0,0.0,0.0,0,Savings,P001,Inactive,,Inactive,0.0,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,,No,Married,34
ACC100015,CUST200015,0,0.0,0.0,0,Savings,P002,,Inactive,Inactive,254960.77,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,0
